Precinct,For the Tax Levy,Against the Tax Levy,Total Votes Cast,Overvotes,Undervotes,Contest Total
UN-E,446,349,795,0,29,824
VD-A,405,274,679,0,35,714
VD-B,246,182,428,0,17,445
VD-C,456,343,799,0,36,835
VD-D,431,275,706,0,35,741
VD-E,313,207,520,0,28,548
VD-F,470,348,818,0,29,847
VD-G,361,278,639,0,22,661
VD-H,508,375,883,0,20,903
VD-I,410,303,713,0,37,750
VD-J,502,411,913,0,38,951
VD-K,529,306,835,0,43,878
WASTWP-A,447,296,743,0,36,779
WASTWP-B,564,495,1059,0,26,1085
WASTWP-C,497,369,866,1,28,895
WASTWP-D,358,281,639,0,18,657
WASTWP-E,562,334,896,0,23,919
WASTWP-F,351,223,574,0,27,601
WASTWP-G,639,322,961,0,38,999
WASTWP-H,444,329,773,0,36,809
WASTWP-I,412,223,635,0,37,672
WASTWP-J,482,329,811,0,55,866
WASTWP-K,496,293,789,0,28,817
WASTWP-L,435,247,682,0,44,726
WASTWP-M,442,455,897,0,40,937
WASTWP-N,518,277,795,0,47,842
WASTWP-O,422,419,841,0,37,878
WASTWP-P,538,418,956,0,33,989
WASTWP-Q,565,356,921,0,47,968
WASTWP-R,388,304,692,0,18,710
WASTWP-S,376,340,716,0,23,739
WASTWP-T,461,245,706,0,35,741
WASTWP-U,490,363,853,0,26,879
WASTWP-V,443,366,809,0,30,839
WASTWP-W,352,219,571,0,25,596
WASTWP-X,377,306,683,0,26,709
WASTWP-Y,612,448,1060,1,47,1108
WASTWP-Z,414,333,747,0,13,760
WASTWP-AA,432,357,789,0,38,827
WASTWP-BB,353,250,603,0,21,624
WASTWP-CC,593,396,989,0,36,1025
WCR-A,401,248,649,0,51,700
WCR-B,370,315,685,0,43,728
WCR-C,368,341,709,0,43,752
WCR-D,358,332,690,0,42,732
WCR-E,298,147,445,0,32,477
WCR-F,348,182,530,0,37,567
WCR-G,437,279,716,0,37,753
WCR-H,351,321,672,0,41,713
WCR-I,355,128,483,0,36,519
