Precinct,Joseph T. Deters (REP),Melody J. Stewart (DEM),Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 5-D,32,385,417,0,26,443
DAY 6-A,24,388,412,0,34,446
DAY 6-B,29,371,400,0,34,434
DAY 6-C,26,334,360,0,28,388
DAY 7-A,26,321,347,0,33,380
DAY 7-B,28,260,288,0,11,299
DAY 8-A,279,371,650,0,54,704
DAY 8-B,228,425,653,0,24,677
DAY 8-C,235,403,638,0,54,692
DAY 8-D,245,392,637,0,39,676
DAY 9-A,335,480,815,0,43,858
DAY 9-B,311,434,745,0,51,796
DAY 9-C,347,467,814,0,52,866
DAY 9-D,283,345,628,1,41,670
DAY 10-A,252,304,556,0,35,591
DAY 10-B,256,211,467,0,37,504
DAY 10-C,191,264,455,0,25,480
DAY 10-D,290,286,576,0,39,615
DAY 10-E,220,279,499,0,34,533
DAY 11-A,165,197,362,0,20,382
DAY 11-B,190,200,390,0,41,431
DAY 11-C,164,242,406,0,27,433
DAY 11-D,304,250,554,0,40,594
DAY 11-E,241,203,444,0,21,465
DAY 12-A,301,353,654,1,36,691
DAY 12-B,117,316,433,0,25,458
DAY 12-C,223,279,502,0,29,531
DAY 12-D,153,214,367,0,38,405
DAY 13-A,32,368,400,0,26,426
DAY 13-B,19,223,242,0,25,267
DAY 14-A,55,426,481,0,33,514
DAY 14-B,15,174,189,0,16,205
DAY 14-C,34,249,283,0,19,302
DAY 14-D,42,484,526,0,33,559
DAY 15-A,30,411,441,0,32,473
DAY 15-B,30,470,500,1,35,536
DAY 15-C,16,336,352,0,27,379
DAY 15-D,27,381,408,0,40,448
DAY 16-A,41,389,430,1,23,454
DAY 16-B,29,304,333,0,17,350
DAY 16-C,36,341,377,0,22,399
DAY 16-D,52,668,720,1,31,752
DAY 16-E,28,392,420,0,31,451
DAY 17-A,65,271,336,0,11,347
DAY 17-B,79,349,428,0,38,466
DAY 17-C,72,396,468,0,27,495
DAY 17-D,46,252,298,0,15,313
DAY 18-A,28,288,316,1,20,337
DAY 18-B,89,446,535,0,36,571
DAY 18-C,67,327,394,0,21,415
DAY 18-D,83,302,385,1,21,407
DAY 19-A,3,184,187,0,15,202
DAY 19-B,31,432,463,0,30,493
DAY 19-C,22,348,370,0,22,392
DAY 20-A,400,361,761,0,52,813
DAY 20-B,416,402,818,0,56,874
DAY 20-C,314,226,540,0,33,573
DAY 20-D,332,244,576,0,44,620
DAY 21-A,36,314,350,0,24,374
DAY 21-B,26,318,344,0,28,372
DAY 21-C,45,492,537,0,36,573
DAY 22-A,78,609,687,0,33,720
DAY 22-B,58,459,517,0,39,556
DAY 22-C,35,727,762,0,50,812
DAY 23-A,104,424,528,0,28,556
ENG-A,380,402,782,0,51,833
ENG-B,412,310,722,0,53,775
ENG-C,304,391,695,0,42,737
ENG-D,470,373,843,0,42,885
ENG-E,354,459,813,0,39,852
ENG-F,389,279,668,0,30,698
ENG-G,412,347,759,0,58,817
ENG-H,308,281,589,0,40,629
ENG-I,280,277,557,0,29,586
ENG-J,301,372,673,1,41,715
FARM,399,118,517,0,40,557
GERTWP-A,750,171,921,0,56,977
GERTWP-B,721,182,903,0,48,951
GTN-A,501,242,743,0,57,800
GTN-B,493,210,703,0,44,747
GTN-C,528,189,717,0,52,769
GTN-D,576,197,773,0,59,832
HARTWP-A,261,141,402,0,31,433
HARTWP-B,321,181,502,0,38,540
HARTWP-C,307,201,508,0,57,565
HARTWP-D,258,505,763,0,35,798
HARTWP-E,201,112,313,0,30,343
HARTWP-F,51,256,307,0,14,321
HARTWP-G,112,392,504,0,41,545
HARTWP-H,81,467,548,1,33,582
